source_url,index_title,index_section,index_type_hint,current_notice
https://www.police.vic.gov.au/public-notice-fountain-gate-shopping-centre-and-surrounding-transit-hub-friday-22-august-2025,Friday 22 August 2025: Fountain Gate shopping centre,previous,,FALSE
https://www.police.vic.gov.au/public-notice-sunshine-thursday-21-august-2025,Thursday 21 August 2025: Sunshine,previous,,FALSE
https://www.police.vic.gov.au/public-notice-melbourne-cbd-saturday-16-august-2025,Saturday 16 August 2025: Melbourne CBD,previous,,FALSE
https://www.police.vic.gov.au/public-notice-springvale-sunday-27-july-2025,Sunday 27 July: Springvale,previous,,FALSE
https://www.police.vic.gov.au/public-notice-warragul-gippsland-snowfest-2025-friday-25-july-2025,Friday 25 July 2025: Warragul,previous,,FALSE
https://www.police.vic.gov.au/public-notice-city-yarra-tuesday-22-july-2025,Tuesday 22 July 2025: City of Yarra,previous,,FALSE
https://www.police.vic.gov.au/public-notice-waurn-ponds-friday18-july-2025,Friday 18 July 2025: Waurn Ponds,previous,,FALSE
https://www.police.vic.gov.au/public-notice-geelong-shopping-precinct-monday-14-july-2025,Monday 14 July 2025: Geelong Shopping Precinct,previous,,FALSE
https://www.police.vic.gov.au/public-notice-westfield-airport-west,Thursday 10 and Friday 11 July 2025: Westfield Airport West,previous,,FALSE
https://www.police.vic.gov.au/public-notice-corio-10-july-2025,Thursday 10 July 2025: Corio,previous,,FALSE
https://www.police.vic.gov.au/public-notice-frankston-central-business-district-and-frankston-railway-station-thursday-10-july,Thursday 10 July 2025: Frankston Central Business District including Frankston Railway Station,previous,,FALSE
https://www.police.vic.gov.au/public-notice-melbourne-central-wednesday-9-july-2025,Wednesday 9 July 2025: Melbourne Central,previous,,FALSE
https://www.police.vic.gov.au/public-notice-southern-cross-station-wednesday-9-july-2025,Wednesday 9 July 2025: Southern Cross Station,previous,,FALSE
https://www.police.vic.gov.au/public-notice-pacific-werribee-shopping-centre-thursday-3-july-2025,Thursday 3 July 2025: Pacific Werribee Shopping Centre,previous,,FALSE
https://www.police.vic.gov.au/public-notice-westfield-shopping-centre-doncaster-6-june-2025,"Friday 6 June 2025: Westfield Shopping Centre, Doncaster",previous,,FALSE
https://www.police.vic.gov.au/public-notice-melbourne-friday-9-may-2025,Friday 9 May 2025: Melbourne,previous,,FALSE
https://www.police.vic.gov.au/public-notice-woodgrove-shopping-centre-and-surrounding-area-tuesday-29-april-2025,Tuesday 29 April 2025: Woodgrove Shopping Centre and surrounding area,previous,,FALSE
https://www.police.vic.gov.au/public-notice-melbourne-parliament-precinct-saturday-26-april-2025,Saturday 26 April 2025: Melbourne Parliament precinct,previous,,FALSE
https://www.police.vic.gov.au/public-notice-morwell-central-business-district-24-26-april-2025,Thursday 24 and Saturday 26 April 2025: Morwell Central Business District,previous,,FALSE
https://www.police.vic.gov.au/public-notice-flinders-street-railway-station-and-elizabeth-swanston-and-collins-street-tram-stops,"Tuesday 22 April 2024: Flinders Street Railway Station and Elizabeth, Swanston and Collins Street tram stops",previous,,FALSE
https://www.police.vic.gov.au/public-notice-glen-shopping-centre-wednesday-16-april-2025,Wednesday 16 April 2025: The Glen Shopping Centre,previous,,FALSE
https://www.police.vic.gov.au/public-notice-city-port-phillip-bay-street-port-melbourne-tuesday-8-april-2025,Tuesday 8 April 2025: City of Port Phillip – Bay Street Port Melbourne,previous,,FALSE
https://www.police.vic.gov.au/public-notice-st-kilda-entertainment-precinct-and-surrounds-tuesday-31-december-2024,Tuesday 31 December 2024: St Kilda Entertainment Precinct and surrounds,previous,,FALSE
https://www.police.vic.gov.au/public-notice-melbourne-sunday-15-december-2024,Sunday 15 December 2024: Melbourne,previous,,FALSE
https://www.police.vic.gov.au/public-notice-melbourne-11-13-september-2024,Wednesday 11 September to Friday 13 September 2024: Melbourne,previous,,FALSE
https://www.police.vic.gov.au/public-notice-melbourne-6-15-september-2024,Friday 6 September to Sunday 15 September 2024: Melbourne,previous,,FALSE
https://www.police.vic.gov.au/public-notice-melbourne-4-march-6-march-2024,Monday 4 March to Wednesday 6 March 2024: Melbourne,previous,,FALSE
https://www.police.vic.gov.au/public-notice-sunshine-west-23-september-2023,Saturday 23 September 2023: Sunshine West,previous,,FALSE
https://www.police.vic.gov.au/public-notice-sunshine-west-29-july-2023,Saturday 29 July 2023: Sunshine West,previous,,FALSE
https://www.police.vic.gov.au/public-notice-melbourne-13-may-2023,Saturday 13 May 2023: Melbourne,previous,,FALSE
https://www.police.vic.gov.au/public-notice-melbourne-formula-1-grand-prix,Thursday 7 April - Sunday 10 April 2022: Melbourne Formula 1 Grand Prix,previous,,FALSE
https://www.police.vic.gov.au/public-notice-st-kilda-13-february-2022,Sunday 13 February 2022: St Kilda,previous,,FALSE
https://www.police.vic.gov.au/public-notice-st-albans-13-february-2022,Sunday 13 February 2022: St Albans,previous,,FALSE
https://www.police.vic.gov.au/public-notice-doncaster-11-february-2022,Friday 11 February 2022: Doncaster,previous,,FALSE
https://www.police.vic.gov.au/public-notice-melton-9-february-2022,Wednesday 9 February 2022: Melton,previous,,FALSE
https://www.police.vic.gov.au/public-notice-st-kilda-festival-2022,Saturday 5 February 2022: St Kilda Festival 2022,previous,,FALSE
