notice_id,title,location,suburb,suburb_source,lga,lga_source,start_date,end_date,end_date_basis,date_parse_status,current_notice,index_section,index_title,location_description,date_text,page_updated_date,source_url,source_page_url,raw_html_file,scraped_at,scrape_date,is_designated_area
public-notice-geelong-shopping-precinct-monday-14-july-2025,Public notice: Geelong Shopping Precinct - Monday 14 July 2025,Geelong Shopping Precinct,Geelong,location_keyword,,,2025-07-14,2025-07-14,single_day_notice,parsed,FALSE,previous,Monday 14 July 2025: Geelong Shopping Precinct,,"This declaration will be in place from 10am-10pm on Monday, 14 July 2025.",2025-07-10,https://www.police.vic.gov.au/public-notice-geelong-shopping-precinct-monday-14-july-2025,https://www.police.vic.gov.au/public-notices,data-raw/vicpol-public-notices/20260925-142915/public-notice-geelong-shopping-precinct-monday-14-july-2025.html,2026-09-25T04:29:15Z,2026-09-25,TRUE
public-notice-waurn-ponds-friday18-july-2025,Public notice: Waurn Ponds - Friday 18 July 2025,Waurn Ponds,Waurn Ponds,simple_location_title,,,2025-07-18,2025-07-18,single_day_notice,parsed,FALSE,previous,Friday 18 July 2025: Waurn Ponds,,This declaration will be in place from 10am to 10pm on 18 July 2025.,2025-07-14,https://www.police.vic.gov.au/public-notice-waurn-ponds-friday18-july-2025,https://www.police.vic.gov.au/public-notices,data-raw/vicpol-public-notices/20260925-142915/public-notice-waurn-ponds-friday18-july-2025.html,2026-09-25T04:29:15Z,2026-09-25,TRUE
public-notice-city-yarra-tuesday-22-july-2025,Public notice: City of Yarra - Tuesday 22 July 2025,City of Yarra,,,City of Yarra NA,explicit_notice_text,2025-07-22,2025-07-22,single_day_notice,parsed,FALSE,previous,Tuesday 22 July 2025: City of Yarra,,This declaration will be in place from 12pm to 11.59pm on Tuesday 22 July 2025.,2025-07-14,https://www.police.vic.gov.au/public-notice-city-yarra-tuesday-22-july-2025,https://www.police.vic.gov.au/public-notices,data-raw/vicpol-public-notices/20260925-142915/public-notice-city-yarra-tuesday-22-july-2025.html,2026-09-25T04:29:15Z,2026-09-25,TRUE
public-notice-warragul-gippsland-snowfest-2025-friday-25-july-2025,"Public notice: Warragul, Gippsland SNOWFEST 2025 - Friday 25 July 2025","Warragul, Gippsland SNOWFEST 20",Gippsland SNOWFEST 20,title_after_comma,,,2025-07-25,2025-07-25,notice_date_range_shared_month,parsed,FALSE,previous,Friday 25 July 2025: Warragul,,This declaration will be in place from 1pm on 25 July to 1am on Saturday 26 July.,2025-07-21,https://www.police.vic.gov.au/public-notice-warragul-gippsland-snowfest-2025-friday-25-july-2025,https://www.police.vic.gov.au/public-notices,data-raw/vicpol-public-notices/20260925-142915/public-notice-warragul-gippsland-snowfest-2025-friday-25-july-2025.html,2026-09-25T04:29:15Z,2026-09-25,TRUE
public-notice-springvale-sunday-27-july-2025,Public notice: Springvale - Sunday 27 July 2025,Springvale,Springvale,simple_location_title,,,2025-07-27,2025-07-27,single_day_notice,parsed,FALSE,previous,Sunday 27 July: Springvale,,This declaration will be in place from 9am to 9pm on Sunday 27 July.,2025-07-22,https://www.police.vic.gov.au/public-notice-springvale-sunday-27-july-2025,https://www.police.vic.gov.au/public-notices,data-raw/vicpol-public-notices/20260925-142915/public-notice-springvale-sunday-27-july-2025.html,2026-09-25T04:29:15Z,2026-09-25,TRUE
public-notice-melbourne-cbd-saturday-16-august-2025,Public notice: Melbourne CBD - Saturday 16 August 2025,Melbourne CBD,Melbourne,location_keyword,,,2025-08-16,2025-08-16,single_day_notice,parsed,FALSE,previous,Saturday 16 August 2025: Melbourne CBD,,This declaration will be in place from 8am to 8pm on Saturday 16 August.,2025-08-11,https://www.police.vic.gov.au/public-notice-melbourne-cbd-saturday-16-august-2025,https://www.police.vic.gov.au/public-notices,data-raw/vicpol-public-notices/20260925-142915/public-notice-melbourne-cbd-saturday-16-august-2025.html,2026-09-25T04:29:15Z,2026-09-25,TRUE
public-notice-sunshine-thursday-21-august-2025,Public notice: Sunshine - Thursday 21 August 2025,Sunshine,Sunshine,simple_location_title,,,2025-08-21,2025-08-21,single_day_notice,parsed,FALSE,previous,Thursday 21 August 2025: Sunshine,,This declaration will be in place from 1pm to 10pm on Thursday 21 August.,2025-08-18,https://www.police.vic.gov.au/public-notice-sunshine-thursday-21-august-2025,https://www.police.vic.gov.au/public-notices,data-raw/vicpol-public-notices/20260925-142915/public-notice-sunshine-thursday-21-august-2025.html,2026-09-25T04:29:15Z,2026-09-25,TRUE
public-notice-fountain-gate-shopping-centre-and-surrounding-transit-hub-friday-22-august-2025,Public notice: Fountain Gate shopping centre and surrounding transit hub - Friday 22 August 2025,Fountain Gate shopping centre and surrounding transit hub,Fountain Gate,location_keyword,,,2025-08-22,2025-08-22,single_day_notice,parsed,FALSE,previous,Friday 22 August 2025: Fountain Gate shopping centre,,This declaration will be in place from 12.00pm to 10.00pm on Friday 22 August.,2025-08-20,https://www.police.vic.gov.au/public-notice-fountain-gate-shopping-centre-and-surrounding-transit-hub-friday-22-august-2025,https://www.police.vic.gov.au/public-notices,data-raw/vicpol-public-notices/20260925-142915/public-notice-fountain-gate-shopping-centre-and-surrounding-transit-hub-friday-22-august-2025.html,2026-09-25T04:29:15Z,2026-09-25,TRUE
public-notice-melbourne-central-business-district-and-surrounds-sunday-31-august-2025,Public notice: Melbourne Central Business District (CBD) and surrounds - Sunday 31 August 2025,Melbourne Central Business District (CBD) and surrounds,Melbourne,location_keyword,,,2025-08-31,2025-08-31,notice_date_range,parsed,FALSE,previous,Sunday 31 August 2025: Melbourne CBD,,"This declaration will be in place from 8am Sunday 31 August 2025, to 8pm Sunday 31 August 2025.",2025-08-26,https://www.police.vic.gov.au/public-notice-melbourne-central-business-district-and-surrounds-sunday-31-august-2025,https://www.police.vic.gov.au/public-notices,data-raw/vicpol-public-notices/20260925-142915/public-notice-melbourne-central-business-district-and-surrounds-sunday-31-august-2025.html,2026-09-25T04:29:15Z,2026-09-25,TRUE
public-notice-melbourne-central-business-district-and-surrounds-saturday-13-september-2025,Public notice: Melbourne Central Business District and surrounds - Saturday 13 September 2025,Melbourne Central Business District and surrounds,Melbourne,location_keyword,,,2025-09-13,2025-09-13,single_day_notice,parsed,FALSE,previous,Saturday 13 September: Melbourne CBD,,"This declaration will be in place from 8am to 8pm, on Saturday 13 September 2025.",2025-09-10,https://www.police.vic.gov.au/public-notice-melbourne-central-business-district-and-surrounds-saturday-13-september-2025,https://www.police.vic.gov.au/public-notices,data-raw/vicpol-public-notices/20260925-142915/public-notice-melbourne-central-business-district-and-surrounds-saturday-13-september-2025.html,2026-09-25T04:29:15Z,2026-09-25,TRUE
